ps,Solute scaled(kJ/mol),Solute not scaled(kJ/mol),Solvent(kJ/mol),Solute-Solvent(kJ/mol)
2.0000000000000013,1457.4442992022373,730.5978851318359,-68187.40702052199,-5386.858713286871
4.000000000000003,1440.5340305293475,725.5258026123047,-65975.49419566162,-5834.773759867676
5.999999999999782,1408.362451445042,816.7425231933594,-65503.54731308832,-5724.7139892160485
7.999999999999562,1476.0543145875672,767.6973571777344,-64809.09082279686,-5735.754350703108
9.999999999999343,1445.2567407230058,758.1924896240234,-64890.762520282995,-5671.130560106161
11.999999999999122,1464.4398298623314,745.8168029785156,-64778.106534458,-5888.340304178069
13.999999999998902,1444.2456066355762,765.1072082519531,-65187.063080744236,-5512.581950738851
15.999999999998682,1402.9991530814123,811.9168395996094,-65044.218291079975,-5828.318082664424
17.99999999999935,1469.2462566803142,807.7306518554688,-65380.15510358079,-5833.7991579267255
20.000000000000018,1514.1305251037802,752.5738830566406,-65280.605345598655,-5468.625973171569
22.000000000000686,1507.1408145505752,799.1530303955078,-65295.39085592481,-5791.154336402076
24.000000000001354,1506.8503979916086,750.7432861328125,-65394.684174130205,-5532.121200450536
26.00000000000202,1411.975329249337,768.7566299438477,-64844.40163718967,-5821.224440927501
28.00000000000269,1459.4338658102952,733.2628479003906,-64446.151864129526,-5864.969515094315
30.000000000003357,1500.6461726472767,766.8772048950195,-65125.684025775176,-5574.7721517718455
32.00000000000402,1365.8629751309063,729.0444030761719,-65613.85077965714,-5531.7273650444695
34.00000000000291,1460.8113685083626,697.4298477172852,-65229.45572408236,-5756.704801668515
36.000000000001805,1479.4324380048151,717.8701782226562,-64968.889692127064,-5774.860341918771
38.000000000000696,1498.5963846282225,767.0136413574219,-64606.686160055455,-5672.193360771591
39.99999999999959,1468.8637896915357,764.3786315917969,-65009.021904269,-5627.925701039378
41.99999999999848,1462.829793333659,802.4982070922852,-64992.69626134768,-5709.370998206432
43.99999999999737,1518.9481461755208,759.884765625,-65050.395792446914,-5839.164857179727
45.99999999999626,1561.6972069581343,794.07421875,-65256.06581666012,-5881.460029980284
47.999999999995154,1545.3275188411326,763.3484954833984,-65453.962468873826,-5763.805059148814
49.999999999994046,1547.2856353176207,809.0848770141602,-64649.681367483805,-5770.587050369591
51.99999999999294,1557.7246375935238,797.5321197509766,-65031.209643381124,-5896.624999871041
53.99999999999183,1569.4575582517868,759.6549072265625,-64519.030019479746,-5949.764457900936
55.99999999999072,1658.2117721979716,750.232307434082,-65067.62997792452,-6029.74364715314
57.99999999998961,1584.5337420408246,796.0403060913086,-64498.9110512801,-6042.394340866958
59.9999999999885,1542.2825328423273,801.0536270141602,-64649.3185317521,-5815.233889756797
61.999999999987395,1580.5127685666425,803.8585968017578,-64721.59767154639,-5982.084740579157
63.99999999998629,1514.4517438806038,765.6541061401367,-64696.877016483515,-5878.018622153235
65.99999999998873,1596.694373109961,715.755973815918,-64178.92759179557,-5984.256069800584
67.99999999999118,1755.8430838569006,823.568489074707,-64461.93481720961,-6294.030397242095
69.99999999999362,1722.8081037570164,772.3563079833984,-64390.74922435742,-6265.077964721349
71.99999999999606,1662.7496735826776,757.5937423706055,-64558.35134830087,-6226.424230089062
73.99999999999851,1682.230896032666,778.2719650268555,-64585.14470841427,-6182.596576225726
76.00000000000095,1581.2195476245515,773.0003509521484,-64909.80888617999,-5828.557628845359
78.0000000000034,1567.5038073885266,709.9025192260742,-64788.19782846555,-5739.557331802251
80.00000000000584,1543.5393377451496,751.8280868530273,-64694.92882958526,-5893.179148778188
82.00000000000828,1565.0262206544703,745.8378372192383,-64662.34212304157,-6066.751417046806
84.00000000001073,1595.1675618742702,749.3897857666016,-64492.561096696125,-5954.952855806405
86.00000000001317,1566.3599941797524,749.8034057617188,-65158.42731866153,-5728.388186491575
88.00000000001562,1414.6659538391154,811.5677337646484,-65293.30132136162,-5524.021723732731
90.00000000001806,1489.2351754199226,839.3020477294922,-65181.8282722311,-5880.386153510568
92.0000000000205,1554.5282515155204,778.584716796875,-64632.695160364965,-6113.98005045508
94.00000000002295,1577.6810847360593,775.460807800293,-64990.91807655175,-5923.228419387058
96.0000000000254,1446.1827989464077,771.5856323242188,-65309.27592600521,-5558.868429508482
98.00000000002784,1483.0249383509586,726.3443069458008,-64858.88530138577,-5734.8899886077415
100.00000000003028,1622.3270761512085,774.0656661987305,-65232.792792346445,-5969.832179305959
