#"Step","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
250,-69011.03975943942,-56088.73620012449,307.0319797818663,0
500,-68161.06149785616,-55279.99996463931,306.05207547417194,605
750,-68036.3930932844,-55390.30699905516,300.4690945527497,723
1000,-67975.08314171102,-55392.76754974754,298.9539170557603,774
1250,-67663.71790478652,-54939.94304399233,302.3149679061934,803
1500,-67622.93531749654,-55038.83050463395,298.9964286739404,820
1750,-68081.09822525247,-55105.49291152111,308.29842141196775,835
2000,-68092.65701489837,-55333.53719062009,303.15475889732954,843
2250,-68030.65710119542,-55164.236089636805,305.7042188920127,854
2500,-67869.43442965561,-55442.77442645753,295.25556378899296,857
2750,-67822.29202951124,-55142.41993114917,301.27184490528623,864
3000,-68166.52149738744,-55516.61092319386,300.5599636187563,867
3250,-67980.58739015413,-55648.66564076999,293.0045971949911,870
3500,-67665.13801545312,-54964.75490142126,301.7591835380251,876
3750,-68041.2649783846,-55350.17626281199,301.5383500351803,882
4000,-67797.21933054051,-55324.72058104316,296.3446854740224,887
4250,-68045.3319269509,-55464.80636810762,298.9113861393299,889
4500,-68017.47117935802,-55214.730682926194,304.1911794758466,891
4750,-68094.50374547887,-55513.86349027563,298.9141113075099,892
5000,-67945.04873564927,-55353.756652757234,299.16719712371713,891
5250,-67796.96181476046,-55199.65772483661,299.3100415022732,892
5500,-68218.14526525774,-55374.496204674535,305.1631607780795,893
5750,-68014.32162724179,-55299.32345633651,302.1064350807452,891
6000,-67893.66418538231,-54954.997823332495,307.42075750213985,892
6250,-68164.85924828041,-55176.390493494924,308.60405482752145,893
6500,-67975.64835603809,-55360.673897567205,299.7298867886469,893
6750,-67860.78714032087,-54891.69800396811,308.14359802216137,896
7000,-67627.97955821146,-55119.62513420376,297.1966108819651,898
7250,-67661.38835606503,-55155.55946685339,297.1366045568634,900
7500,-67937.23119015433,-55107.08795136935,304.8422644931209,903
7750,-67481.77985636523,-54914.65420903551,298.59300626673036,905
8000,-67666.72656756331,-54855.49099370354,304.3930212317788,905
8250,-67380.70460494224,-54797.047483141476,298.98579160196545,906
8500,-67765.68629850849,-55505.24217793043,291.30629953608604,908
8750,-67943.3450612991,-55202.95045303734,302.7098505944866,909
9000,-67851.18831537897,-55039.45750790881,304.40478790752314,910
9250,-67805.9604373799,-55245.74926703016,298.4287193385849,911
9500,-67801.01722914731,-55126.27687590121,301.1499154168278,911
9750,-67909.71960805467,-55083.96113897039,304.7380830276481,912
10000,-68212.08018207096,-55629.10548277211,298.96957734644616,889
10250,-67825.20617562602,-55335.34673219174,296.75717293845764,880
10500,-67819.00726766471,-55138.684764162,301.2825464633637,881
10750,-67772.45111169381,-55012.705388361064,303.16963016427917,882
11000,-67679.58662786562,-54796.87655255472,306.09124458520273,882
11250,-67969.12995037629,-55214.68391930853,303.0437102769397,881
11500,-67898.35546480672,-55400.86327897705,296.9385257443305,883
11750,-67522.30222470383,-54898.89030031185,299.93035970388274,884
12000,-67923.5253062264,-55082.516085396695,305.1004385844624,886
12250,-67840.66440789722,-54936.53035773238,306.60027499019276,886
12500,-67907.35654970433,-55504.32683806692,294.69411163246446,887
12750,-67752.5310851052,-54912.306878055504,305.08178677567906,888
13000,-68171.4699369414,-55587.238919370226,298.9994272787448,889
13250,-67879.21846808534,-55070.494701203366,304.3333410775646,890
13500,-68192.16820317676,-55167.97639086918,309.4528292758637,891
13750,-68101.00129378418,-55161.64755294676,307.43708951825846,891
14000,-68162.24265303777,-55581.88750646019,298.9073371696493,892
14250,-67840.04655415862,-55106.93240172969,302.5368680641035,893
14500,-67846.18255192129,-54980.58428515395,305.6846706001031,894
14750,-67730.20926985494,-54889.71764289145,305.0881406324187,895
15000,-67875.98479470407,-55102.059444190294,303.50653596330926,896
15250,-67928.96274081484,-54970.44943192584,307.89231795981595,897
15500,-67866.62934453896,-54726.90907692554,312.19776791554807,898
15750,-67995.72443044453,-55510.69997134118,296.6422944414061,898
16000,-67510.48445902357,-55317.24008042732,289.7096438216618,899
16250,-67776.92328739719,-55168.60150883108,299.57182011944656,900
16500,-67564.33248145331,-55156.680079922895,294.80394604575247,901
16750,-67965.14928836905,-55264.76805373508,301.7591388838151,902
17000,-67794.15615273989,-54991.69298570207,304.18459017135416,903
17250,-67916.14143198536,-55114.67486455565,304.16091111526947,903
17500,-67907.93164668331,-55080.31872949755,304.78214443429965,904
17750,-67686.76943187037,-54681.50555732002,309.0031043350965,905
18000,-67959.92023616703,-55485.443949987646,296.3916714467471,906
18250,-67992.62645646435,-55376.75620345975,299.75117073139774,905
18500,-67690.04312840884,-54999.61588253931,301.52263361499496,906
18750,-67543.32277469028,-55173.10442192777,293.9145187039706,906
19000,-67554.36321937799,-54675.764752534626,305.9935533893506,907
19250,-68271.98414853547,-55142.74244460167,311.9487988260158,907
19500,-68006.0427866794,-55116.567934899766,306.2519746518233,907
19750,-68088.03812604124,-55135.98911273491,307.73872727364056,907
20000,-68028.70666731516,-55216.3265647401,304.42021506109563,904
20250,-68099.7977866772,-55083.56235750619,309.26378681488836,899
20500,-68125.26612030511,-55557.529047504126,298.6075336435303,899
20750,-67757.09926732862,-55451.79567278526,292.3721538584458,899
21000,-68060.26561709249,-55441.51307666849,299.81965344491834,899
21250,-67729.24532292114,-55225.62292871816,297.0841785688978,899
21500,-68138.84670976497,-55482.78775226249,300.7060482770469,899
21750,-68240.91786236648,-55654.68375004141,299.04702050739434,898
22000,-68284.67566786963,-55744.886841848725,297.94348752350743,899
22250,-68170.36921017966,-55513.78843907616,300.718446489352,899
22500,-68410.31267057708,-55755.47225439781,300.67709591935056,899
22750,-68203.05852133891,-55475.071476541634,302.41504876157165,899
23000,-68415.58402630198,-55624.49096145021,303.91443826163623,899
23250,-68389.22806567576,-55582.66655739694,304.28196613990923,899
23500,-68104.34586356155,-55435.78554965876,301.0030786159435,899
23750,-67873.26837971964,-55312.37513853301,298.44492523859657,899
