"Steps","Aim Temp (K)","E solute scaled (kJ/mole)","E solute not scaled (kJ/mole)","E solvent (kJ/mole)","E solvent-solute (kJ/mole)"
250,300,1527.42,753.997,-65281.1,-5739.95
500,300,1620.83,785.869,-64476.3,-5785.15
750,500,1621.19,658.75,-65902,-4629
1000,500,1592.31,643.544,-65794.6,-4631.01
1250,500,1615.74,678.983,-65523.4,-4627.3
1500,500,1492.25,680.689,-65682.7,-4318.84
1750,500,1654.05,613.11,-65964.5,-4575.73
2000,500,1778.74,631.755,-65848.7,-4822.84
2250,500,1743.26,606.577,-65869.1,-4655.25
2500,500,1631.35,593.456,-65766.4,-4515.93
2750,500,1602.88,664.849,-65794.6,-4472.51
3000,500,1628.93,687.949,-66279.6,-4329.35
3250,500,1722.63,681.221,-66043.9,-4431.01
3500,500,1616.98,705.309,-65612,-4573.35
3750,500,1583.62,644.365,-66112.5,-4298.82
4000,500,1655.7,627.5,-65610.5,-4660.16
4250,500,1518.56,642.491,-66021.3,-4378.85
4500,500,1635.46,645.568,-65891,-4587.08
4750,500,1603.52,650.346,-66077.7,-4402.64
5000,500,1679,710.878,-66054.8,-4362.38
5250,500,1665.18,674.306,-65711.2,-4562.55
5500,500,1673.67,674.591,-66321.8,-4335.21
5750,500,1759.32,664.666,-65896.3,-4673.84
6000,500,1610.85,696.127,-65885.6,-4452.67
6250,500,1580.83,671.196,-65931.4,-4703.02
6500,500,1578.35,686.903,-66057.9,-4290.65
6750,500,1616.34,613.819,-65774.8,-4486.9
7000,500,1707.22,644.647,-65472.5,-4677.41
7250,500,1697.69,651.811,-65627,-4517.02
7500,500,1748.98,672.237,-65963.2,-4498.27
7750,500,1600.87,669.347,-65385,-4576.26
8000,500,1618.5,699.519,-65478.4,-4725.1
8250,500,1679.78,685.385,-65296.1,-4626.92
8500,500,1763.09,709.812,-65761.6,-4595.62
8750,500,1696.73,730.727,-65919.2,-4595.85
9000,500,1718.63,711.298,-65867.9,-4520.05
9250,500,1645.71,675.606,-65795.5,-4473.15
9500,500,1691.04,667.963,-65885.4,-4411.51
9750,500,1709.89,637.417,-65910.8,-4474.98
10000,500,1683.76,660.676,-66275.4,-4396.47
10250,500,1756.39,659.012,-65884.6,-4422.4
10500,500,1718.53,691.424,-65787.1,-4588.46
10750,500,1697.17,672.009,-65635.7,-4676.96
11000,500,1632.1,660.103,-65586.6,-4551.63
11250,500,1670.58,690.506,-66134.8,-4254.41
11500,500,1657.5,608.653,-65856.6,-4439.8
11750,500,1730,708.178,-65539.7,-4528.23
12000,500,1762.49,676.599,-65870.5,-4648.25
12250,500,1723.76,657.616,-65805.5,-4562.76
12500,500,1631.97,666.538,-65927.4,-4444.99
12750,500,1713.12,652.348,-65753.4,-4519.75
13000,500,1849.3,642.692,-66051.7,-4723.85
13250,500,1587.02,636.893,-65755.6,-4538.68
