ps,Solute scaled(kJ/mol),Solute not scaled(kJ/mol),Solvent(kJ/mol),Solute-Solvent(kJ/mol)
2.0000000000000013,-767.1184743785188,915.3695983886719,-37301.712463270815,-2081.837951062589
4.000000000000003,-779.8209882777401,945.0567474365234,-36311.17794891016,-2282.2366730532012
5.999999999999782,-766.5171645001815,954.9385986328125,-35710.78904567499,-2377.9677265061036
7.999999999999562,-818.2568406072269,948.8445892333984,-35770.5458470904,-2322.770885655089
9.999999999999343,-708.3533487997356,947.3090286254883,-35860.77905819495,-2295.4526151058526
11.999999999999122,-764.2380733437694,962.3556518554688,-35615.10703436166,-2325.2142194350527
13.999999999998902,-727.9530226800184,965.2259216308594,-35650.44194562439,-2371.1677181990453
15.999999999998682,-702.31127714988,859.0931854248047,-35706.84928367732,-2475.793419292815
17.99999999999935,-798.0146576003699,866.8987884521484,-36160.67439381874,-2326.2403897823606
20.000000000000018,-707.634093745201,948.9541168212891,-35730.774735425744,-2331.5984552369628
22.000000000000686,-764.0478424065855,922.9635009765625,-35909.672402562486,-2343.070127412204
24.000000000001354,-776.0439344224319,887.6475524902344,-36002.40718717716,-2423.374852031673
26.00000000000202,-811.7391829466496,961.3858184814453,-35953.00813432562,-2260.457114111574
28.00000000000269,-759.699466317189,899.1729125976562,-35751.37885784928,-2448.580245288562
30.000000000003357,-758.1637796714672,922.6608734130859,-35741.52871950029,-2235.0221028837987
32.00000000000402,-753.9326985511375,887.613037109375,-35866.473396193265,-2252.183610517932
34.00000000000291,-758.8202134673661,966.4072265625,-35479.06168194226,-2329.1272293548827
36.000000000001805,-729.2428747489093,895.1440277099609,-35632.41906332353,-2389.051250980039
38.000000000000696,-782.7236735862816,929.0439453125,-35918.748492720915,-2192.4274331786
39.99999999999959,-757.8803603857282,915.0968017578125,-35851.222092156386,-2372.7489249260616
41.99999999999848,-729.9052649255764,921.3798217773438,-35416.34006911455,-2326.9202229436924
43.99999999999737,-807.3150365402171,966.9205322265625,-35790.48168464526,-2315.3494748551966
45.99999999999626,-785.0895044666036,913.0827865600586,-35523.6694335262,-2426.184893726335
47.999999999995154,-792.4443466226426,916.9735717773438,-35559.41641608917,-2271.1911899807237
49.999999999994046,-794.6185082854968,972.5019073486328,-35843.75815279133,-2301.06325479073
51.99999999999294,-760.0249462830916,949.775146484375,-35659.22857104699,-2299.5136925762563
53.99999999999183,-766.660808144869,907.6701354980469,-35871.40733136749,-2270.1179613093773
55.99999999999072,-797.3418502840782,962.5596923828125,-35595.28747312422,-2378.7317934869207
57.99999999998961,-772.061035284285,906.0755004882812,-35662.63574745829,-2328.16950343144
59.9999999999885,-795.5194869143502,883.3135452270508,-35977.12878274871,-2362.509127613688
61.999999999987395,-763.6901082642389,870.5760040283203,-35795.75309501411,-2280.396548676428
63.99999999998629,-747.3161938694989,987.3035888671875,-36003.439624021354,-2377.2984513871634
65.99999999998873,-760.8888921543617,958.352424621582,-35826.73801181713,-2292.962442517477
67.99999999999118,-737.2095803790075,931.8387145996094,-35468.57544135695,-2322.6792761742618
69.99999999999362,-747.3986130988583,931.1270751953125,-35315.82326020967,-2374.1111663787524
71.99999999999606,-800.906415195404,938.555908203125,-35702.62872945855,-2446.0541087845704
73.99999999999851,-731.5747886708959,936.5805969238281,-35816.34984091998,-2400.7898085895577
76.00000000000095,-732.206391483533,892.3993530273438,-35676.0474763368,-2389.9958506817784
78.0000000000034,-779.2871484467937,904.8143920898438,-35802.3584904896,-2470.288862859932
80.00000000000584,-742.4396744407472,983.4569702148438,-35659.95471856219,-2402.5230514754003
82.00000000000828,-760.4732962604539,890.1578674316406,-35547.567723525135,-2582.0081425502503
84.00000000001073,-740.7213850678168,984.5890197753906,-36142.83347174624,-2316.298682962173
86.00000000001317,-832.2666903429708,932.5489349365234,-36015.353388200456,-2444.5427156762526
88.00000000001562,-737.732158066161,905.1429443359375,-35738.707332443795,-2462.5109575402967
90.00000000001806,-730.6120719150977,943.5159072875977,-35823.708777359076,-2463.3068826748568
92.0000000000205,-790.3741519678792,960.7191162109375,-35761.68998827631,-2374.307111087801
94.00000000002295,-771.677682790043,878.2060546875,-35898.51467418004,-2262.0940021721326
96.0000000000254,-758.7581452444115,930.1393890380859,-36007.26355575072,-2407.0540590822347
98.00000000002784,-761.1559237070974,946.4645690917969,-36040.6739716022,-2331.825507716123
100.00000000003028,-766.6819650819921,934.6105804443359,-35959.524670139625,-2289.6621615185795
