#"Step","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
250,-38632.959562210075,-31427.52747803525,297.70329297977474,0
500,-38552.73097741589,-31415.053845243616,294.90389495739294,686
750,-37866.61684112789,-30690.398820684553,296.49626987934386,867
1000,-37694.8620905531,-30729.1190315063,287.80017943458654,955
1250,-37820.746418962226,-30494.32262121883,302.70224809195156,1.01e+03
1500,-37731.06207359812,-30415.78030132639,302.24189850644035,953
1750,-37703.866688662005,-30425.594508114533,300.71279141064974,985
2000,-37632.68179226198,-30354.598547526606,300.7049852426412,1.01e+03
2250,-37661.562447926815,-30384.71570922513,300.65389713110005,1.03e+03
2500,-37525.69713890806,-30078.47289720198,307.6933006119099,1.04e+03
2750,-37601.18119220284,-30375.030505493283,298.55931328896287,1.05e+03
3000,-37421.58668461765,-30203.238466419716,298.2369425355998,1.06e+03
3250,-37429.63029268751,-29925.2477098917,310.054883673812,1.07e+03
3500,-37595.8716286085,-30337.85838688939,299.8757628007033,1.07e+03
3750,-37496.56814828486,-30328.393336735375,296.16395257403144,1.08e+03
4000,-37531.84154785209,-30373.52659417613,295.7565776764583,1.09e+03
4250,-37517.96495532739,-30212.790059629886,301.82431765872195,1.09e+03
4500,-37621.10190087979,-30395.249929225334,298.5469714259727,1.1e+03
4750,-37286.68110032758,-29857.854532032798,306.9331729896208,1.11e+03
5000,-37260.833207818505,-29836.068541144312,306.7653493984631,1.11e+03
5250,-37174.52357169619,-29720.524769232667,307.9732018062342,1.11e+03
5500,-37061.901323192054,-29657.262246553088,305.9338302950069,1.11e+03
5750,-37554.626966810465,-30185.62752332879,304.461325103428,1.11e+03
6000,-37507.585477311484,-30196.084533733927,302.0856878671201,1.12e+03
6250,-37404.57328205343,-30430.772697683627,288.13308824475973,1.12e+03
6500,-37584.27221680025,-30532.81277865509,291.3416809048356,1.12e+03
6750,-37151.964170038525,-29829.032530751836,302.55796429883225,1.12e+03
7000,-37404.30516830887,-29884.995168059686,310.6716324377501,1.12e+03
7250,-37257.98046290557,-29772.455688497605,309.27574488104324,1.13e+03
7500,-37682.49003926656,-30344.62470823052,303.17497229477055,1.13e+03
7750,-37554.13723298017,-30240.258841851668,302.1839156980862,1.13e+03
8000,-37585.32763735761,-30339.10117475406,299.3887742460497,1.13e+03
8250,-37678.12414639228,-30334.415576092724,303.41639453705875,1.14e+03
8500,-37674.61177517753,-30380.372662583366,301.37248928768963,1.12e+03
8750,-37604.430156496936,-30286.83943130134,302.3372963785928,1.12e+03
9000,-37730.24922674839,-30410.903794906946,302.4097947299173,1.13e+03
9250,-37802.21249602054,-30503.15819947672,301.5714358742884,1.13e+03
9500,-38189.009160834685,-30791.93338469797,305.62134112863725,1.13e+03
9750,-38070.97584335221,-30621.160765271576,307.8003449239325,1.13e+03
10000,-38088.86532760659,-30958.730946631316,294.59225481655983,1.12e+03
10250,-37788.848007563036,-30651.939066543477,294.8721559814189,1.12e+03
10500,-38027.31369501335,-30695.391161207634,302.9294366649414,1.12e+03
10750,-38088.20559949707,-30849.80552474875,299.0654152289334,1.12e+03
11000,-38039.9143950094,-30854.32352545415,296.8835232754791,1.12e+03
11250,-38016.6569908798,-30704.68910763238,302.1049801837662,1.12e+03
11500,-38111.81813044258,-30920.617117356684,297.11531481603515,1.12e+03
11750,-37793.20811695472,-30622.007470589655,296.2889695026606,1.12e+03
12000,-37899.42062363101,-30773.005443898757,294.43859040832365,1.13e+03
12250,-38234.002570324286,-30867.167796297872,304.37188852037286,1.13e+03
12500,-38159.47499836332,-31005.653337232798,295.57093051866536,1.13e+03
12750,-37852.78988990144,-30815.108044166613,290.7724388965877,1.13e+03
13000,-37952.03281678067,-30641.95124057395,302.0270445636638,1.13e+03
13250,-37901.37005650028,-30675.218252783874,298.5593594397852,1.13e+03
13500,-37843.087306834204,-30669.255968922196,296.39766049123585,1.13e+03
13750,-37833.95798309587,-30651.000821629277,296.7747076539339,1.13e+03
14000,-37715.37074111734,-30312.31836521026,305.8682733613853,1.13e+03
14250,-37822.04911541546,-30273.861112694984,311.8647706604061,1.13e+03
14500,-37618.00700246566,-30236.137690000935,304.99306314935126,1.13e+03
14750,-37592.752889318974,-30220.359401426394,304.6015551667804,1.13e+03
15000,-37873.96746117147,-30572.820673998125,301.6578902803063,1.13e+03
15250,-37588.22340050456,-30416.155387022765,296.32480608315404,1.13e+03
15500,-37936.78281963276,-30583.247480654478,303.82240230464754,1.13e+03
15750,-37756.44065901413,-30398.436760421464,304.00702758409466,1.13e+03
16000,-37740.336503227154,-30566.115887012013,296.41374411139554,1.14e+03
16250,-37671.40992392678,-30465.000870431628,297.74365794059923,1.14e+03
16500,-37694.15622234039,-30348.0138281119,303.5169516431022,1.14e+03
