"Steps","Aim Temp (K)","E solute scaled (kJ/mole)","E solute not scaled (kJ/mole)","E solvent (kJ/mole)","E solvent-solute (kJ/mole)"
250,300,-765.961,892.881,-35849.9,-2435.79
500,300,-783.905,970.884,-35918,-2365.05
750,387.298,-741.421,832.706,-35970.8,-2035.3
1000,387.298,-657.995,816.774,-35650.1,-2232.95
1250,387.298,-689.802,796.805,-35792.7,-2159.66
1500,387.298,-705.638,783.871,-35729.4,-2123.73
1750,500,-752.507,729.576,-36330.1,-1782.97
2000,500,-665.05,727.288,-36175.8,-1928.39
2250,500,-558.548,743.284,-36232.1,-1954.32
2500,500,-588.692,753.395,-36191.7,-1826.95
2750,500,-706.666,688.826,-36119.8,-1896
3000,500,-665.692,659.594,-35940,-1853.83
3250,500,-658.897,769.89,-35983.6,-1996.5
3500,500,-638.558,727.754,-36183.8,-1874.8
3750,500,-552.776,772.979,-36094.4,-1997.71
4000,500,-560.228,723.358,-36137,-1897.45
4250,500,-565.538,710.396,-36095.9,-1942.89
4500,500,-671.009,719.432,-36195.2,-1870.37
4750,500,-630.327,675.594,-35746.9,-1979.46
5000,500,-634.235,727.309,-35841.6,-1884.18
5250,500,-691.109,792.875,-35825.5,-1823.99
5500,500,-567.019,763.313,-35703.5,-1884.48
5750,500,-500.922,715.032,-36195.1,-1870.24
6000,500,-607.43,728.438,-36098.6,-1876.45
6250,500,-486.697,732.88,-35937.1,-2045.96
6500,500,-547.789,699.655,-36111.5,-1974.64
6750,500,-584.178,812.004,-35961.9,-1710.32
7000,500,-585.247,758.104,-35988.4,-1955.8
7250,500,-513.158,788.709,-36015.9,-1811.19
7500,500,-575.721,740.617,-36285.7,-1910.31
7750,500,-538.747,695.978,-36028.9,-2051.7
8000,500,-606.066,682.599,-36031.1,-2037.75
8250,500,-648.335,724.025,-36177.2,-1997.72
8500,500,-637.552,727.77,-36127.3,-2086.06
8750,387.298,-663.108,786.544,-35643.7,-2102.74
9000,387.298,-690.986,808.027,-35815.7,-2057.5
9250,387.298,-617.921,840.87,-35829.4,-2224.01
9500,387.298,-725.228,797.799,-36178.9,-2145.52
9750,387.298,-736.393,831.158,-36145.7,-2072.91
10000,387.298,-678.522,835.922,-36110.8,-2146.23
