"Steps","Aim Temp (K)","E solute scaled (kJ/mole)","E solute not scaled (kJ/mole)","E solvent (kJ/mole)","E solvent-solute (kJ/mole)"
120250,300,-799.885,935.274,-35476.5,-2365.77
120500,300,-774.973,978.006,-35941.3,-2267.14
120750,300,-769.306,921.091,-35794.5,-2352.67
121000,300,-751.778,865.642,-36099.9,-2274.23
121250,300,-716.706,946.047,-35704.8,-2276.7
121500,300,-742.866,968.454,-35949.3,-2306.76
121750,300,-837.04,956.557,-35995.1,-2263.76
122000,300,-772.988,922.654,-35997,-2314.36
122250,300,-781.952,946.814,-35981.5,-2414.26
122500,300,-794.876,887.322,-36092.7,-2344.13
122750,300,-806.442,877.183,-36007.5,-2293.41
123000,300,-779.841,918.926,-35748.7,-2334.99
123250,300,-785.776,894.84,-35828.1,-2324.66
123500,300,-776.211,927.345,-35694.8,-2349.34
123750,300,-782.833,934.686,-35648.5,-2425.04
124000,300,-705.567,925.528,-35592.9,-2393.37
124250,300,-770.714,980.912,-35602.4,-2143.46
124500,300,-768.775,920.824,-35854.3,-2184.37
124750,300,-756.813,916.432,-35742.1,-2223.57
125000,300,-757.149,927.765,-35693.8,-2304.13
125250,300,-699.053,899.876,-35691,-2270.91
125500,300,-701.913,948.211,-35769.4,-2322.6
125750,300,-780.488,931.982,-35799.1,-2395.78
126000,300,-771.396,937.298,-35934.4,-2391.34
126250,300,-777.936,867.083,-35510.6,-2370.84
126500,300,-760.091,944.66,-35493.1,-2451.57
126750,300,-744.07,978.517,-35999.8,-2330.05
127000,300,-747.067,909.029,-35471.4,-2450.39
127250,300,-770.579,969.324,-35870.9,-2322.58
127500,300,-803.263,942.02,-35972.9,-2329.62
127750,300,-780.046,894.339,-35943.4,-2217.47
128000,300,-799.29,948.376,-36008.8,-2231.91
128250,300,-755.118,879.945,-35793.2,-2422.49
128500,300,-760.565,915.374,-36007.4,-2322.13
128750,300,-808.257,898.355,-35792.7,-2257.32
129000,300,-774.128,947.154,-35669.3,-2375.68
129250,300,-710.572,954.438,-35553.2,-2291.44
129500,300,-718.517,882.157,-35634.5,-2477.77
129750,300,-736.408,916.586,-35780.1,-2222.01
130000,300,-783.518,919.595,-36131.5,-2327.29
130250,300,-713.607,959.019,-35728.5,-2316.18
130500,300,-712.54,925.985,-35729.7,-2308.71
130750,300,-705.374,907.319,-35735.3,-2369.64
131000,300,-746.795,921.563,-35868.4,-2428.53
131250,300,-776.683,962.744,-36126.1,-2271.44
131500,300,-770.722,963.106,-35951.9,-2321.53
131750,300,-741.272,948.406,-36170.7,-2312.39
132000,300,-710.958,970.973,-36009.2,-2361.54
132250,300,-748.863,972.874,-35964.3,-2453.48
132500,300,-805.97,944.593,-35936.4,-2274.26
132750,300,-698.881,949.757,-36094.8,-2429.77
133000,300,-731.837,1017.72,-35935.7,-2335.7
133250,300,-761.886,925.362,-36087.7,-2256.46
133500,300,-725.813,915.652,-35714.4,-2368.44
133750,300,-768.831,897.588,-35724.7,-2302.27
134000,300,-745.436,958.161,-35652.3,-2415.61
134250,300,-715.933,952.335,-35704.7,-2437.32
134500,300,-765.438,914.752,-35873.4,-2495.44
134750,300,-753.2,931.291,-35618.7,-2382.83
135000,300,-769.99,928.175,-35558.9,-2406.52
135250,300,-729.824,974.55,-35719,-2251.6
135500,300,-774.188,956.098,-35677.7,-2371.74
135750,300,-798.249,917.712,-35481.7,-2336.86
136000,300,-750.745,906.586,-35482.2,-2335.76
136250,300,-708.113,908.359,-35639.3,-2513.79
136500,300,-722.942,923.228,-35627.5,-2459.08
136750,300,-724.859,899.27,-36006,-2398.79
137000,300,-702.193,991.334,-36355.9,-2168.57
137250,387.298,-693.424,866.663,-35896.4,-2233.83
137500,387.298,-640.907,870.905,-36096.6,-2157.48
137750,387.298,-634.213,816.022,-36127.4,-2125.84
138000,387.298,-666.498,863.261,-36089.1,-2126.08
138250,387.298,-701.271,797.792,-35735,-2182.76
138500,387.298,-688.365,813.597,-35930,-2187.15
138750,387.298,-679.86,857.076,-35943.4,-2160.1
139000,387.298,-700.376,853.39,-35887,-2052.68
139250,387.298,-658.404,801.934,-35398.4,-2189.17
139500,387.298,-651.815,791.908,-36072.9,-2168.56
139750,387.298,-578.178,828.409,-35893.8,-2253.08
140000,387.298,-695.326,891.462,-35889.9,-2092.43
140250,387.298,-748.13,746.842,-35922.2,-2056.85
140500,387.298,-657.465,765.18,-35592.3,-2136.86
140750,387.298,-692.229,863.52,-35983.6,-2190.16
141000,387.298,-704.157,847.352,-36031.3,-2254.16
141250,387.298,-663.825,851.167,-35512.2,-2227.26
141500,387.298,-724.265,893.019,-35803.7,-2173.65
141750,300,-749.848,891.341,-35496.9,-2397.61
142000,300,-729.776,902.891,-35639.2,-2229.93
142250,300,-815.268,904,-35915.6,-2371.34
142500,300,-716.509,920.645,-35770.7,-2416.07
142750,300,-727.044,927.24,-35792.3,-2305.47
143000,300,-743.959,988.85,-35795.4,-2299.55
143250,300,-773.182,990.299,-35679.7,-2295.22
143500,300,-742.858,885.352,-35611.4,-2275.75
143750,300,-723.81,927.764,-35761.5,-2371.74
144000,300,-717.286,895.314,-35657.3,-2267.31
144250,387.298,-678.798,851.755,-36029.8,-2166.42
144500,387.298,-735.045,877.086,-36035.7,-2127.25
144750,387.298,-777.048,866.715,-36151.4,-2086.34
145000,387.298,-706.311,727.824,-35681.1,-2015.63
145250,387.298,-691.932,821.302,-35664.5,-2139.53
145500,387.298,-599.483,779.704,-35853.7,-2040.29
145750,500,-630.953,733.621,-35925.2,-2012.72
146000,500,-606.377,717.308,-36195.7,-1927.59
146250,500,-649.617,754.143,-36345.5,-1975.13
146500,500,-671.083,750.22,-36240.1,-1846.97
146750,500,-609.316,759.717,-36394.8,-1838.6
147000,500,-559.523,766.606,-36242.1,-1927.9
147250,500,-549.377,815.485,-36102.5,-2111.7
147500,500,-617.824,729.826,-36324.9,-1991.83
147750,500,-694.799,806.622,-36146.1,-1836.37
148000,500,-506.052,733.801,-36189.3,-2012.31
148250,500,-372.026,708.125,-35884.8,-2307.43
148500,500,-489.962,682.298,-36125.6,-2021.62
148750,500,-443.482,739.395,-35845.4,-2219.59
149000,500,-463.369,768.961,-35925,-2207.67
149250,500,-484.751,714.305,-36115.9,-2200.39
149500,500,-485.923,733.939,-35898.9,-2233.19
149750,500,-450.059,782.508,-36050.9,-2221.89
150000,500,-524.204,736.134,-35832.7,-2136.51
150250,500,-551.393,719.118,-36002,-2188.09
150500,500,-535.699,713.112,-36198.2,-2053.91
150750,500,-582.284,743.484,-36236.2,-1843.49
151000,500,-608.899,746.581,-35733.8,-1916.98
151250,500,-532.783,705.297,-35595.4,-2121.4
151500,500,-479.034,704.187,-35550,-2117.89
151750,500,-521.005,826.792,-35810.4,-2056.9
152000,500,-574.066,754.708,-35711.3,-1891.92
152250,500,-548.221,836.844,-35967.4,-1865.84
152500,500,-563.556,770.616,-36185,-2052.19
152750,500,-625.795,779.093,-35987,-1934.17
153000,500,-517.689,741.299,-36185.6,-1950.5
153250,500,-696.259,729.155,-35800.3,-1992.51
153500,500,-581.623,765.184,-35999,-1925.47
153750,500,-608.85,807.031,-36008.8,-1955.52
154000,500,-546.584,749.838,-35671.1,-2055.3
154250,500,-597.784,699.735,-35938.4,-1825.06
154500,500,-654.944,711.836,-36037.4,-1860.54
154750,500,-596.227,758.376,-36156.1,-1871.53
155000,500,-612.483,710.406,-35972.3,-1875.33
155250,500,-673.833,753.95,-36243.6,-1777.47
155500,500,-584.343,733.362,-36155.8,-1870.47
155750,500,-670.73,691.453,-35980.9,-1929.31
156000,500,-681.131,758.387,-36244,-1733.05
156250,500,-649.011,738.442,-36249.2,-1903.54
156500,500,-616.09,715.713,-35725.6,-2039.38
156750,500,-661.041,723.175,-36051,-1800.87
157000,500,-671.118,773.664,-36276.6,-1911.91
157250,500,-648.079,731.44,-35677.1,-2002.43
157500,500,-546.018,747.733,-35877.1,-1964.2
157750,500,-601.546,777.855,-35921.2,-1989.76
158000,500,-573.736,787.091,-35838.1,-1929.87
158250,500,-588.573,749.856,-35879.6,-2036.47
158500,500,-575.422,751.777,-36195.2,-2014.08
158750,500,-570.964,768.039,-36149.4,-2080.13
159000,500,-663.739,766.43,-36040.2,-1972.24
159250,500,-538.86,743.259,-36242.7,-2014.47
159500,500,-569.887,747.11,-35907.1,-2039.15
159750,500,-652.2,752.745,-35618.9,-1879.79
160000,500,-549.537,761.379,-36346.2,-1946.17
160250,500,-477.003,762.414,-35798.2,-2054.06
160500,500,-562.208,793.262,-35999.8,-1967.52
160750,500,-525.582,734.576,-35995.8,-1878.21
161000,500,-573.628,738.587,-36359.5,-1863.16
161250,500,-590.513,796.218,-36023.1,-2014.11
161500,500,-457.759,781.81,-36218.8,-1989.63
161750,500,-569.367,765.264,-36272.3,-1968.74
162000,500,-639.519,691.481,-36150.2,-1990.9
162250,387.298,-664.61,802.945,-36241.9,-2168.1
