#"Step","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
120250,-38181.16770306238,-30903.092982040806,300.7046330725512,0
120500,-38480.1168079715,-31167.968515727902,302.1124340535159,1.11e+03
120750,-38465.33602791192,-31156.714980102202,301.966700630337,1.11e+03
121000,-38724.4931342155,-31350.373831507313,304.6728598085671,1.11e+03
121250,-38221.86118473139,-30933.765941838763,301.11864604547736,1.11e+03
121500,-38488.48373991734,-31236.8468118186,299.61231578743906,1.12e+03
121750,-38582.81925710983,-31130.780925713654,307.8922019875249,1.13e+03
122000,-38658.74034834371,-31541.396622392902,294.06378961479703,1.14e+03
122250,-38695.65849377954,-31631.45075482031,291.868396178522,1.14e+03
122500,-38800.81007843817,-31428.48804392552,304.59860296263054,1.15e+03
122750,-38678.18861081489,-31371.49505504212,301.88706339000385,1.15e+03
123000,-38422.78127617331,-31245.870637905668,296.52488642928313,1.15e+03
123250,-38487.928453015076,-31426.276869947935,291.7627847429336,1.15e+03
123500,-38363.74860963636,-31089.97200013735,300.5270501130679,1.15e+03
123750,-38383.49386214264,-31156.355616139102,298.6001157905194,1.15e+03
124000,-38242.243498536496,-31000.67800693211,299.1961992000672,1.14e+03
124250,-38032.508312427264,-30878.853802258905,295.5640244245851,1.14e+03
124500,-38383.00235728381,-30944.617788505013,307.32807619391906,1.15e+03
124750,-38278.77930774161,-31289.77274436591,288.76134619933543,1.15e+03
125000,-38291.81366539886,-31127.117524170317,296.0202260635826,1.15e+03
125250,-38272.16296779073,-30993.55306610826,300.7267448686554,1.15e+03
125500,-38331.6485896892,-31051.52881376716,300.7891275998855,1.15e+03
125750,-38509.155678819516,-31074.54572661931,307.1721222175223,1.15e+03
126000,-38631.5234474194,-31196.525791178574,307.18814079465227,1.15e+03
126250,-38245.24938537154,-30921.858204732736,302.5769509428235,1.15e+03
126500,-38244.198625504854,-30885.431522396044,304.0385605296584,1.15e+03
126750,-38545.92256288914,-31015.62257104469,311.1257005143777,1.15e+03
127000,-38221.20815270892,-30955.721291720256,300.18454665169685,1.15e+03
127250,-38452.08688351777,-30994.395560087956,308.1257638786011,1.15e+03
127500,-38604.13552248536,-31352.61071192159,299.6076834823988,1.16e+03
127750,-38527.768757856684,-31218.9939043459,301.9730553448289,1.15e+03
128000,-38571.31905969992,-31118.978603422933,307.90468473260626,1.15e+03
128250,-38551.25300829936,-31271.801742801297,300.76150708354675,1.15e+03
128500,-38654.22746385273,-31471.03420029371,296.78446256794524,1.15e+03
128750,-38415.93640822731,-31183.901401338167,298.80243285125204,1.15e+03
129000,-38340.630915282265,-31030.552593499393,302.02691010223447,1.15e+03
129250,-38080.10067934205,-30850.802105096052,298.6893730098207,1.15e+03
129500,-38411.36378958542,-31202.742102349177,297.8350762404576,1.15e+03
129750,-38305.26798566303,-31245.262492688955,291.6947740482906,1.15e+03
130000,-38774.13386518959,-31182.731133251305,313.65025236963317,1.13e+03
130250,-38246.202443552145,-31046.69627888681,297.4584546784349,1.13e+03
130500,-38297.929345745215,-30994.195599862927,301.7647743807262,1.13e+03
130750,-38384.54601823169,-30957.223770552344,306.8710197147469,1.13e+03
131000,-38593.57754626818,-31179.349105713598,306.33002932678033,1.13e+03
131250,-38677.27966947586,-31404.660491541144,300.479229082481,1.13e+03
131500,-38547.74485927462,-31176.01064542416,304.5743162654873,1.13e+03
131750,-38752.1291052732,-31507.244865796092,299.33331827339083,1.13e+03
132000,-38603.150623032474,-31315.86286127323,301.08528374469955,1.13e+03
132250,-38648.178365681,-31446.362890754506,297.55386731451665,1.13e+03
132500,-38523.79619200231,-31435.349587110133,292.86986147887245,1.13e+03
132750,-38760.510940104985,-31551.813176297845,297.83821945871443,1.13e+03
133000,-38440.98003687119,-31125.635772342008,302.24448046830065,1.13e+03
133250,-38670.54729859857,-31322.869794001337,303.5803770430676,1.13e+03
133500,-38346.919575679145,-30958.81680979606,305.25060767792405,1.13e+03
133750,-38378.063833200606,-31174.17008105782,297.6397344719317,1.13e+03
134000,-38331.97554384702,-30947.663091324444,305.09400516531014,1.13e+03
134250,-38377.72699912204,-31091.054011602275,301.059883419862,1.14e+03
134500,-38697.3000985781,-31316.667350295582,304.9419726353162,1.14e+03
134750,-38303.144456924,-30845.255402590206,308.1339334290945,1.14e+03
135000,-38297.42894428782,-30825.62162097683,308.708987701855,1.14e+03
135250,-38195.7907392183,-30694.8214032292,309.91386023451787,1.14e+03
135500,-38330.37580995521,-30901.62691174427,306.9299639329734,1.14e+03
135750,-38153.439424856595,-30951.10933232124,297.5751295171151,1.14e+03
136000,-38143.6883440564,-30938.389970499702,297.6977685239394,1.14e+03
136250,-38423.15138437587,-31166.56194316584,299.8169363354551,1.14e+03
136500,-38368.257205677975,-31147.21523445967,298.3482390040517,1.14e+03
136750,-38690.371353532944,-31329.27259453194,304.1348964091855,1.14e+03
137000,-38729.01644364587,-31285.632938004856,307.53461480921584,1.13e+03
137250,-37892.522950672515,-30692.26112231982,297.48967606328523,1.13e+03
137500,-38018.246296304016,-30585.122614953405,307.1107146959449,1.13e+03
137750,-38064.234730288386,-30552.11334533291,310.37462395582963,1.13e+03
